,Festival_week,Months,OS,Place,Processor,Product,RAM,Sales
0,no,0,Windows,asia,i3,vostro,4,20
1,no,0,Linux,asia,i3,vostro,4,17
2,no,0,Windows,asia,i3,vostro,8,27
3,no,0,Linux,asia,i3,vostro,8,28
4,no,0,Windows,asia,i3,vostro,16,18
5,no,0,Linux,asia,i3,vostro,16,16
6,no,0,Windows,asia,i5,vostro,4,16
7,no,0,Linux,asia,i5,vostro,4,12
8,no,0,Windows,asia,i5,vostro,8,23
9,no,0,Linux,asia,i5,vostro,8,41
10,no,0,Windows,asia,i5,vostro,16,11
11,no,0,Linux,asia,i5,vostro,16,13
12,no,0,Windows,asia,i7,vostro,4,33
13,no,0,Linux,asia,i7,vostro,4,22
14,no,0,Windows,asia,i7,vostro,8,20
15,no,0,Linux,asia,i7,vostro,8,33
16,no,0,Windows,asia,i7,vostro,16,23
17,no,0,Linux,asia,i7,vostro,16,19
18,no,0,Windows,asia,i9,vostro,4,24
19,no,0,Linux,asia,i9,vostro,4,17
20,no,0,Windows,asia,i9,vostro,8,11
21,no,0,Linux,asia,i9,vostro,8,34
22,no,0,Windows,asia,i9,vostro,16,13
23,no,0,Linux,asia,i9,vostro,16,13
24,no,0,Windows,africa,i3,vostro,4,40
25,no,0,Linux,africa,i3,vostro,4,14
26,no,0,Windows,africa,i3,vostro,8,17
27,no,0,Linux,africa,i3,vostro,8,30
28,no,0,Windows,africa,i3,vostro,16,20
29,no,0,Linux,africa,i3,vostro,16,16
30,no,0,Windows,africa,i5,vostro,4,32
31,no,0,Linux,africa,i5,vostro,4,21
32,no,0,Windows,africa,i5,vostro,8,18
33,no,0,Linux,africa,i5,vostro,8,47
34,no,0,Windows,africa,i5,vostro,16,20
35,no,0,Linux,africa,i5,vostro,16,19
36,no,0,Windows,africa,i7,vostro,4,9
37,no,0,Linux,africa,i7,vostro,4,4
38,no,0,Windows,africa,i7,vostro,8,8
39,no,0,Linux,africa,i7,vostro,8,53
40,no,0,Windows,africa,i7,vostro,16,11
41,no,0,Linux,africa,i7,vostro,16,13
42,no,0,Windows,africa,i9,vostro,4,39
43,no,0,Linux,africa,i9,vostro,4,6
44,no,0,Windows,africa,i9,vostro,8,10
45,no,0,Linux,africa,i9,vostro,8,36
46,no,0,Windows,africa,i9,vostro,16,5
47,no,0,Linux,africa,i9,vostro,16,13
48,no,0,Windows,europe,i3,vostro,4,22
49,no,0,Linux,europe,i3,vostro,4,6
50,no,0,Windows,europe,i3,vostro,8,7
51,no,0,Linux,europe,i3,vostro,8,50
52,no,0,Windows,europe,i3,vostro,16,11
53,no,0,Linux,europe,i3,vostro,16,7
54,no,0,Windows,europe,i5,vostro,4,37
55,no,0,Linux,europe,i5,vostro,4,9
56,no,0,Windows,europe,i5,vostro,8,9
57,no,0,Linux,europe,i5,vostro,8,33
58,no,0,Windows,europe,i5,vostro,16,9
59,no,0,Linux,europe,i5,vostro,16,10
60,no,0,Windows,europe,i7,vostro,4,23
61,no,0,Linux,europe,i7,vostro,4,4
62,no,0,Windows,europe,i7,vostro,8,11
63,no,0,Linux,europe,i7,vostro,8,37
64,no,0,Windows,europe,i7,vostro,16,7
65,no,0,Linux,europe,i7,vostro,16,10
66,no,0,Windows,europe,i9,vostro,4,22
67,no,0,Linux,europe,i9,vostro,4,7
68,no,0,Windows,europe,i9,vostro,8,7
69,no,0,Linux,europe,i9,vostro,8,21
70,no,0,Windows,europe,i9,vostro,16,7
71,no,0,Linux,europe,i9,vostro,16,7
72,no,0,Windows,america,i3,vostro,4,14
73,no,0,Linux,america,i3,vostro,4,23
74,no,0,Windows,america,i3,vostro,8,22
75,no,0,Linux,america,i3,vostro,8,14
76,no,0,Windows,america,i3,vostro,16,19
77,no,0,Linux,america,i3,vostro,16,24
78,no,0,Windows,america,i5,vostro,4,22
79,no,0,Linux,america,i5,vostro,4,20
80,no,0,Windows,america,i5,vostro,8,26
81,no,0,Linux,america,i5,vostro,8,20
82,no,0,Windows,america,i5,vostro,16,22
83,no,0,Linux,america,i5,vostro,16,23
84,no,0,Windows,america,i7,vostro,4,25
85,no,0,Linux,america,i7,vostro,4,21
86,no,0,Windows,america,i7,vostro,8,19
87,no,0,Linux,america,i7,vostro,8,12
88,no,0,Windows,america,i7,vostro,16,18
89,no,0,Linux,america,i7,vostro,16,20
90,no,0,Windows,america,i9,vostro,4,27
91,no,0,Linux,america,i9,vostro,4,14
92,no,0,Windows,america,i9,vostro,8,24
93,no,0,Linux,america,i9,vostro,8,34
94,no,0,Windows,america,i9,vostro,16,15
95,no,0,Linux,america,i9,vostro,16,20
96,no,0,Windows,asia,i3,xps,4,26
97,no,0,Linux,asia,i3,xps,4,14
98,no,0,Windows,asia,i3,xps,8,15
99,no,0,Linux,asia,i3,xps,8,16
100,no,0,Windows,asia,i3,xps,16,24
101,no,0,Linux,asia,i3,xps,16,22
102,no,0,Windows,asia,i5,xps,4,14
103,no,0,Linux,asia,i5,xps,4,19
104,no,0,Windows,asia,i5,xps,8,18
105,no,0,Linux,asia,i5,xps,8,28
106,no,0,Windows,asia,i5,xps,16,18
107,no,0,Linux,asia,i5,xps,16,20
108,no,0,Windows,asia,i7,xps,4,42
109,no,0,Linux,asia,i7,xps,4,52
110,no,0,Windows,asia,i7,xps,8,55
111,no,0,Linux,asia,i7,xps,8,95
112,no,0,Windows,asia,i7,xps,16,45
113,no,0,Linux,asia,i7,xps,16,53
114,no,0,Windows,asia,i9,xps,4,73
115,no,0,Linux,asia,i9,xps,4,47
116,no,0,Windows,asia,i9,xps,8,36
117,no,0,Linux,asia,i9,xps,8,69
118,no,0,Windows,asia,i9,xps,16,52
119,no,0,Linux,asia,i9,xps,16,47
120,no,0,Windows,africa,i3,xps,4,64
121,no,0,Linux,africa,i3,xps,4,53
122,no,0,Windows,africa,i3,xps,8,34
123,no,0,Linux,africa,i3,xps,8,92
124,no,0,Windows,africa,i3,xps,16,48
125,no,0,Linux,africa,i3,xps,16,42
126,no,0,Windows,africa,i5,xps,4,68
127,no,0,Linux,africa,i5,xps,4,50
128,no,0,Windows,africa,i5,xps,8,48
129,no,0,Linux,africa,i5,xps,8,63
130,no,0,Windows,africa,i5,xps,16,43
131,no,0,Linux,africa,i5,xps,16,58
132,no,0,Windows,africa,i7,xps,4,82
133,no,0,Linux,africa,i7,xps,4,62
134,no,0,Windows,africa,i7,xps,8,55
135,no,0,Linux,africa,i7,xps,8,90
136,no,0,Windows,africa,i7,xps,16,49
137,no,0,Linux,africa,i7,xps,16,55
138,no,0,Windows,africa,i9,xps,4,76
139,no,0,Linux,africa,i9,xps,4,51
140,no,0,Windows,africa,i9,xps,8,40
141,no,0,Linux,africa,i9,xps,8,72
142,no,0,Windows,africa,i9,xps,16,50
143,no,0,Linux,africa,i9,xps,16,36
144,no,0,Windows,europe,i3,xps,4,32
145,no,0,Linux,europe,i3,xps,4,27
146,no,0,Windows,europe,i3,xps,8,29
147,no,0,Linux,europe,i3,xps,8,58
148,no,0,Windows,europe,i3,xps,16,31
149,no,0,Linux,europe,i3,xps,16,26
150,no,0,Windows,europe,i5,xps,4,45
151,no,0,Linux,europe,i5,xps,4,33
152,no,0,Windows,europe,i5,xps,8,25
153,no,0,Linux,europe,i5,xps,8,67
154,no,0,Windows,europe,i5,xps,16,35
155,no,0,Linux,europe,i5,xps,16,29
156,no,0,Windows,europe,i7,xps,4,83
157,no,0,Linux,europe,i7,xps,4,29
158,no,0,Windows,europe,i7,xps,8,27
159,no,0,Linux,europe,i7,xps,8,65
160,no,0,Windows,europe,i7,xps,16,33
161,no,0,Linux,europe,i7,xps,16,32
162,no,0,Windows,europe,i9,xps,4,45
163,no,0,Linux,europe,i9,xps,4,40
164,no,0,Windows,europe,i9,xps,8,39
165,no,0,Linux,europe,i9,xps,8,59
166,no,0,Windows,europe,i9,xps,16,24
167,no,0,Linux,europe,i9,xps,16,27
168,no,0,Windows,america,i3,xps,4,86
169,no,0,Linux,america,i3,xps,4,23
170,no,0,Windows,america,i3,xps,8,27
171,no,0,Linux,america,i3,xps,8,62
172,no,0,Windows,america,i3,xps,16,36
173,no,0,Linux,america,i3,xps,16,28
174,no,0,Windows,america,i5,xps,4,41
175,no,0,Linux,america,i5,xps,4,18
176,no,0,Windows,america,i5,xps,8,31
177,no,0,Linux,america,i5,xps,8,89
178,no,0,Windows,america,i5,xps,16,34
179,no,0,Linux,america,i5,xps,16,24
180,no,0,Windows,america,i7,xps,4,16
181,no,0,Linux,america,i7,xps,4,30
182,no,0,Windows,america,i7,xps,8,22
183,no,0,Linux,america,i7,xps,8,87
184,no,0,Windows,america,i7,xps,16,27
185,no,0,Linux,america,i7,xps,16,24
186,no,0,Windows,america,i9,xps,4,63
187,no,0,Linux,america,i9,xps,4,25
188,no,0,Windows,america,i9,xps,8,28
189,no,0,Linux,america,i9,xps,8,39
190,no,0,Windows,america,i9,xps,16,25
191,no,0,Linux,america,i9,xps,16,27
192,no,1,Windows,asia,i3,vostro,4,69
193,no,1,Linux,asia,i3,vostro,4,28
194,no,1,Windows,asia,i3,vostro,8,25
195,no,1,Linux,asia,i3,vostro,8,90
196,no,1,Windows,asia,i3,vostro,16,17
197,no,1,Linux,asia,i3,vostro,16,22
198,no,1,Windows,asia,i5,vostro,4,67
199,no,1,Linux,asia,i5,vostro,4,20
200,no,1,Windows,asia,i5,vostro,8,16
201,no,1,Linux,asia,i5,vostro,8,40
202,no,1,Windows,asia,i5,vostro,16,28
203,no,1,Linux,asia,i5,vostro,16,31
204,no,1,Windows,asia,i7,vostro,4,79
205,no,1,Linux,asia,i7,vostro,4,26
206,no,1,Windows,asia,i7,vostro,8,18
207,no,1,Linux,asia,i7,vostro,8,91
208,no,1,Windows,asia,i7,vostro,16,18
209,no,1,Linux,asia,i7,vostro,16,21
210,no,1,Windows,asia,i9,vostro,4,70
211,no,1,Linux,asia,i9,vostro,4,28
212,no,1,Windows,asia,i9,vostro,8,21
213,no,1,Linux,asia,i9,vostro,8,51
214,no,1,Windows,asia,i9,vostro,16,20
215,no,1,Linux,asia,i9,vostro,16,22
216,no,1,Windows,africa,i3,vostro,4,28
217,no,1,Linux,africa,i3,vostro,4,38
218,no,1,Windows,africa,i3,vostro,8,27
219,no,1,Linux,africa,i3,vostro,8,41
220,no,1,Windows,africa,i3,vostro,16,35
221,no,1,Linux,africa,i3,vostro,16,42
222,no,1,Windows,africa,i5,vostro,4,57
223,no,1,Linux,africa,i5,vostro,4,49
224,no,1,Windows,africa,i5,vostro,8,29
225,no,1,Linux,africa,i5,vostro,8,112
226,no,1,Windows,africa,i5,vostro,16,35
227,no,1,Linux,africa,i5,vostro,16,37
228,no,1,Windows,africa,i7,vostro,4,80
229,no,1,Linux,africa,i7,vostro,4,41
230,no,1,Windows,africa,i7,vostro,8,28
231,no,1,Linux,africa,i7,vostro,8,30
232,no,1,Windows,africa,i7,vostro,16,28
233,no,1,Linux,africa,i7,vostro,16,30
234,no,1,Windows,africa,i9,vostro,4,65
235,no,1,Linux,africa,i9,vostro,4,37
236,no,1,Windows,africa,i9,vostro,8,32
237,no,1,Linux,africa,i9,vostro,8,97
238,no,1,Windows,africa,i9,vostro,16,34
239,no,1,Linux,africa,i9,vostro,16,42
240,no,1,Windows,europe,i3,vostro,4,64
241,no,1,Linux,europe,i3,vostro,4,40
242,no,1,Windows,europe,i3,vostro,8,28
243,no,1,Linux,europe,i3,vostro,8,41
244,no,1,Windows,europe,i3,vostro,16,41
